PWS ID,Name,Violation Name,Analyte Name,Begin Date,End Date,Resolved,Violation & Inspection,Population,County,Count
CO0113050,96 PIPELINE CO INC,"MCL (TCR), MONTHLY",COLIFORM (TCR),"Feb 1, 2013","Feb 28, 2013",Yes,Records,285,CROWLEY,1
CO0150100,A AND B WA INC,"MCL (TCR), MONTHLY",COLIFORM (TCR),"Apr 1, 2014","Apr 30, 2014",Yes,Records,100,PROWERS,1
CO0150100,A AND B WA INC,"MCL (TCR), MONTHLY",COLIFORM (TCR),"Feb 1, 2014","Feb 28, 2014",Yes,Records,100,PROWERS,1
CO0150100,A AND B WA INC,"MCL (TCR), MONTHLY",COLIFORM (TCR),"Jan 1, 2014","Jan 31, 2014",Yes,Records,100,PROWERS,1
CO0120001,AGATE WA,"MCL (TCR), MONTHLY",COLIFORM (TCR),"Jul 1, 2011","Jul 31, 2011",Yes,Records,140,ELBERT,1
CO0253103,ALPINE ACCENTS,"MCL (TCR), MONTHLY",COLIFORM (TCR),"Oct 1, 2012","Oct 31, 2012",Yes,Records,37,MINERAL,1
CO0214100,ALPINE LODGE DINNER REST AND CBN,"MCL (TCR), MONTHLY",COLIFORM (TCR),"Feb 1, 2012","Feb 29, 2012",Yes,Records,82,CUSTER,1
CO0214100,ALPINE LODGE DINNER REST AND CBN,"MCL (TCR), MONTHLY",COLIFORM (TCR),"Jan 1, 2012","Jan 31, 2012",Yes,Records,82,CUSTER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Jan 1, 2019","Mar 31, 2019",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Oct 1, 2018","Dec 31, 2018",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Jul 1, 2018","Sep 30, 2018",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Apr 1, 2018","Jun 30, 2018",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Jan 1, 2018","Mar 31, 2018",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Oct 1, 2017","Dec 31, 2017",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Jul 1, 2017","Sep 30, 2017",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Apr 1, 2017","Jun 30, 2017",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Jan 1, 2017","Mar 31, 2017",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Oct 1, 2016","Dec 31, 2016",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Jul 1, 2016","Sep 30, 2016",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Apr 1, 2016","Jun 30, 2016",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Jan 1, 2016","Mar 31, 2016",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Oct 1, 2015","Dec 31, 2015",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Jul 1, 2015","Sep 30, 2015",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Apr 1, 2015","Jun 30, 2015",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Jan 1, 2015","Mar 31, 2015",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Jan 1, 2013","Dec 31, 2013",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Jan 1, 2012","Dec 31, 2012",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Jan 1, 2011","Dec 31, 2011",Yes,Records,80,TELLER,1
CO0160050,ALPINE VILLAGE MHP,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Jan 1, 2010","Dec 31, 2010",Yes,Records,80,TELLER,1
CO0218839,ALTA CONVENIENCE NO 6104,"MCL (TCR), MONTHLY",COLIFORM (TCR),"Oct 1, 2010","Dec 31, 2010",Yes,Records,906,DOUGLAS,1
CO0208116,AMERICAN ADVENTURE EXPEDITIONS,"MCL (TCR), MONTHLY",COLIFORM (TCR),"Sep 1, 2011","Sep 30, 2011",Yes,Records,80,CHAFFEE,1
CO0235185,ANNUNCIATION HEIGHTS,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,GROSS ALPHA,"Jan 1, 2016","Mar 31, 2016",Yes,Records,320,LARIMER,1
CO0235185,ANNUNCIATION HEIGHTS,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,GROSS ALPHA,"Oct 1, 2015","Dec 31, 2015",Yes,Records,320,LARIMER,1
CO0235185,ANNUNCIATION HEIGHTS,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Oct 1, 2015","Dec 31, 2015",Yes,Records,320,LARIMER,1
CO0235185,ANNUNCIATION HEIGHTS,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Jul 1, 2015","Sep 30, 2015",Yes,Records,320,LARIMER,1
CO0235185,ANNUNCIATION HEIGHTS,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,GROSS ALPHA,"Jul 1, 2015","Sep 30, 2015",Yes,Records,320,LARIMER,1
CO0235185,ANNUNCIATION HEIGHTS,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED URANIUM,"Jul 1, 2015","Sep 30, 2015",Yes,Records,320,LARIMER,1
CO0235185,ANNUNCIATION HEIGHTS,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Apr 1, 2015","Jun 30, 2015",Yes,Records,320,LARIMER,1
CO0235185,ANNUNCIATION HEIGHTS,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED URANIUM,"Apr 1, 2015","Jun 30, 2015",Yes,Records,320,LARIMER,1
CO0235185,ANNUNCIATION HEIGHTS,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,GROSS ALPHA,"Apr 1, 2015","Jun 30, 2015",Yes,Records,320,LARIMER,1
CO0235185,ANNUNCIATION HEIGHTS,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Jan 1, 2015","Mar 31, 2015",Yes,Records,320,LARIMER,1
CO0235185,ANNUNCIATION HEIGHTS,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,GROSS ALPHA,"Jan 1, 2015","Mar 31, 2015",Yes,Records,320,LARIMER,1
CO0235185,ANNUNCIATION HEIGHTS,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED URANIUM,"Jan 1, 2015","Mar 31, 2015",Yes,Records,320,LARIMER,1
CO0235185,ANNUNCIATION HEIGHTS,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED URANIUM,"Oct 1, 2014","Dec 31, 2014",Yes,Records,320,LARIMER,1
CO0235185,ANNUNCIATION HEIGHTS,EXCEEDED THE MAXIMUM CONTAMINANT LEVEL,COMBINED RADIUM,"Oct 1, 2014","Dec 31, 2014",Yes,Records,320,LARIMER,1
